# Constructed from biom file
#OTU ID	19118X1	19118X10	19118X11	19118X12	19118X13	19118X14	19118X15	19118X16	19118X17	19118X18	19118X19	19118X2	19118X20	19118X21	19118X22	19118X23	19118X24	19118X25	19118X26	19118X27	19118X28	19118X29	19118X3	19118X30	19118X31	19118X32	19118X33	19118X34	19118X35	19118X36	19118X37	19118X38	19118X39	19118X4	19118X40	19118X41	19118X42	19118X43	19118X44	19118X45	19118X5	19118X6	19118X7	19118X8	19118X9
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__	491.0	616.0	1023.0	857.0	442.0	439.0	499.0	443.0	317.0	862.0	770.0	737.0	362.0	537.0	570.0	1120.0	750.0	831.0	116.0	51.0	82.0	133.0	399.0	530.0	231.0	252.0	246.0	432.0	856.0	54.0	572.0	0.0	2.0	334.0	7.0	122.0	214.0	281.0	77.0	76.0	773.0	623.0	901.0	709.0	766.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__	109.0	112.0	144.0	175.0	65.0	32.0	47.0	131.0	82.0	157.0	148.0	102.0	94.0	329.0	320.0	307.0	154.0	177.0	121.0	53.0	17.0	76.0	39.0	317.0	60.0	82.0	78.0	67.0	509.0	25.0	195.0	0.0	1.0	72.0	5.0	29.0	56.0	103.0	33.0	57.0	56.0	109.0	184.0	116.0	148.0
k__Bacteria;p__OD1;c__;o__;f__;g__	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	855.0	38.0	0.0	3.0	665.0	92.0	61.0	337.0	25.0	716.0	7.0	0.0	0.0	4.0	1.0	959.0	517.0	1.0	1476.0	4.0	0.0	1.0	0.0	0.0	1.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	7.0	3.0	1.0	0.0	0.0	1.0	5.0	1.0	0.0	0.0	14.0	0.0	3.0	0.0	10.0	2.0	0.0	12.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	7.0	10.0	0.0	7.0	6.0	2.0	0.0	0.0	1.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	22.0	3.0	6.0	3.0	9.0	0.0	3.0	7.0	0.0	3.0	8.0	3.0	12.0	9.0	18.0	5.0	8.0	3.0	11.0	5.0	2.0	4.0	9.0	49.0	5.0	11.0	6.0	2.0	7.0	8.0	9.0	0.0	1.0	12.0	0.0	0.0	1.0	2.0	3.0	9.0	11.0	7.0	21.0	4.0	21.0
k__Bacteria;p__OD1;__;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	4.0	0.0	0.0	36.0	4.0	6.0	16.0	0.0	17.0	1.0	0.0	0.0	0.0	0.0	52.0	35.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia	204.0	27.0	7.0	43.0	72.0	29.0	89.0	78.0	80.0	0.0	27.0	0.0	386.0	57.0	0.0	32.0	78.0	36.0	7.0	5.0	0.0	31.0	2.0	159.0	5.0	2.0	1.0	45.0	54.0	10.0	5.0	0.0	3.0	43.0	9.0	21.0	51.0	80.0	7.0	14.0	95.0	33.0	134.0	78.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;g__	12.0	11.0	40.0	55.0	7.0	28.0	24.0	10.0	44.0	14.0	76.0	15.0	0.0	130.0	33.0	51.0	14.0	44.0	12.0	6.0	7.0	4.0	3.0	9.0	6.0	10.0	14.0	6.0	54.0	4.0	32.0	0.0	0.0	1.0	2.0	15.0	19.0	45.0	8.0	14.0	12.0	10.0	43.0	12.0	109.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__	111.0	163.0	159.0	251.0	123.0	67.0	131.0	90.0	73.0	203.0	180.0	283.0	139.0	330.0	584.0	212.0	179.0	306.0	94.0	40.0	16.0	163.0	144.0	232.0	40.0	141.0	148.0	46.0	243.0	79.0	156.0	0.0	4.0	162.0	5.0	28.0	108.0	218.0	44.0	100.0	96.0	214.0	283.0	188.0	131.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	2.0	0.0	0.0	40.0	8.0	4.0	31.0	2.0	77.0	0.0	0.0	0.0	0.0	0.0	85.0	47.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira	56.0	59.0	54.0	176.0	48.0	12.0	54.0	91.0	28.0	73.0	119.0	68.0	42.0	86.0	242.0	72.0	52.0	132.0	154.0	64.0	16.0	86.0	34.0	362.0	385.0	217.0	177.0	80.0	189.0	65.0	532.0	0.0	1.0	35.0	3.0	15.0	129.0	201.0	72.0	168.0	85.0	49.0	110.0	56.0	126.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus	7.0	112.0	22.0	91.0	29.0	14.0	20.0	25.0	9.0	12.0	28.0	25.0	24.0	155.0	138.0	97.0	10.0	113.0	15.0	5.0	0.0	10.0	7.0	14.0	0.0	14.0	14.0	5.0	74.0	0.0	39.0	0.0	0.0	3.0	0.0	0.0	5.0	20.0	3.0	11.0	6.0	31.0	112.0	30.0	4.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__	20.0	14.0	2.0	13.0	8.0	4.0	7.0	11.0	12.0	14.0	19.0	13.0	10.0	63.0	98.0	15.0	28.0	230.0	15.0	4.0	12.0	5.0	23.0	37.0	28.0	13.0	7.0	0.0	9.0	4.0	10.0	0.0	0.0	19.0	0.0	6.0	10.0	41.0	36.0	23.0	31.0	8.0	42.0	7.0	12.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	1.0	0.0	0.0	37.0	6.0	7.0	18.0	1.0	41.0	0.0	0.0	0.0	0.0	0.0	44.0	27.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__	6.0	7.0	10.0	27.0	2.0	4.0	7.0	2.0	4.0	1.0	1.0	3.0	3.0	17.0	8.0	10.0	13.0	20.0	4.0	0.0	8.0	4.0	2.0	11.0	23.0	14.0	11.0	18.0	19.0	2.0	14.0	0.0	0.0	0.0	0.0	7.0	11.0	30.0	40.0	18.0	7.0	0.0	6.0	9.0	7.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	16.0	0.0	13.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	2.0	0.0	0.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	0.0	0.0	3.0	1.0	2.0	0.0	5.0	3.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	7.0	0.0	2.0	0.0	0.0	1.0	2.0	2.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium	2.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	4.0	1.0	9.0	34.0	1.0	21.0	0.0	65.0	73.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	1.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__	83.0	29.0	77.0	11.0	1.0	24.0	2.0	6.0	37.0	63.0	0.0	0.0	1.0	4.0	2.0	3.0	10.0	67.0	3.0	2.0	4.0	5.0	0.0	3.0	0.0	16.0	16.0	10.0	7.0	0.0	26.0	0.0	0.0	1.0	1.0	9.0	4.0	2.0	0.0	8.0	1.0	0.0	72.0	1.0	177.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	9.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;__	1.0	2.0	1.0	0.0	1.0	2.0	2.0	4.0	0.0	2.0	0.0	1.0	1.0	2.0	2.0	1.0	5.0	3.0	0.0	2.0	5.0	2.0	0.0	2.0	0.0	31.0	28.0	5.0	5.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	8.0	0.0	3.0	2.0	6.0	3.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus	15.0	12.0	13.0	8.0	17.0	4.0	34.0	40.0	4.0	17.0	17.0	7.0	11.0	10.0	16.0	14.0	11.0	61.0	14.0	4.0	21.0	44.0	19.0	49.0	89.0	50.0	48.0	28.0	26.0	38.0	103.0	0.0	1.0	29.0	1.0	7.0	25.0	31.0	13.0	41.0	19.0	17.0	63.0	11.0	14.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__	1497.0	586.0	746.0	209.0	429.0	589.0	649.0	1436.0	1203.0	527.0	499.0	93.0	870.0	1455.0	543.0	937.0	1676.0	1060.0	48.0	28.0	749.0	625.0	921.0	453.0	13.0	886.0	919.0	1567.0	287.0	262.0	443.0	1.0	21.0	1137.0	62.0	1336.0	1847.0	2448.0	1235.0	2657.0	384.0	329.0	877.0	126.0	1316.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Ralstonia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__rc4-4	1.0	5.0	2.0	1.0	4.0	0.0	8.0	6.0	3.0	7.0	7.0	3.0	6.0	4.0	7.0	3.0	10.0	12.0	21.0	7.0	12.0	16.0	3.0	15.0	0.0	197.0	238.0	0.0	0.0	0.0	1.0	0.0	4.0	10.0	1.0	0.0	14.0	58.0	16.0	96.0	7.0	1.0	13.0	2.0	1.0
